protein,frac_top1,n_cells,k,n,cluster,chance,excess
ASB_1A3W,0.15865384615384615,208,1,9,Pyruvate kinase 1,0.1111111111111111,0.04754273504273504
ASB_1FRP,0.2644230769230769,208,1,7,"Fructose-1,6-bisphosphatase 1",0.14285714285714285,0.12156593406593408
ASB_1GZ3,0.038461538461538464,208,1,8,"NAD-dependent malic enzyme, mitochondrial",0.125,-0.08653846153846154
ASB_1M8P,0.052884615384615384,208,1,7,Sulfate adenylyltransferase,0.14285714285714285,-0.08997252747252746
ASB_1NE7,0.15384615384615385,208,1,8,Glucosamine-6-phosphate isomerase 1,0.125,0.028846153846153855
ASB_1PFK,0.014423076923076924,208,1,6,ATP-dependent 6-phosphofructokinase isozyme 1,0.16666666666666666,-0.15224358974358973
ASB_1QW7,0.07692307692307693,208,1,9,Parathion hydrolase,0.1111111111111111,-0.03418803418803418
ASB_1T49,0.009615384615384616,208,1,9,Tyrosine-protein phosphatase non-receptor type 1,0.1111111111111111,-0.1014957264957265
ASB_1W25,0.5432692307692307,208,1,9,Response regulator PleD,0.1111111111111111,0.4321581196581196
ASB_1W96,0.08653846153846154,208,1,9,Acetyl-CoA carboxylase,0.1111111111111111,-0.02457264957264957
ASB_1Z8D_1,0.11538461538461539,208,1,9,"Glycogen phosphorylase, muscle form",0.1111111111111111,0.004273504273504286
ASB_2BU8,0.014423076923076924,208,1,8,Pyruvate dehydrogenase kinase isozyme 2,0.125,-0.11057692307692307
ASB_2BXA,0.15384615384615385,208,1,8,Serum albumin,0.125,0.028846153846153855
ASB_2IEG,0.0625,208,1,9,"Glycogen phosphorylase, muscle form",0.1111111111111111,-0.048611111111111105
ASB_2Q8M_2,0.0625,208,1,8,"Fructose-1,6-bisphosphatase class 1",0.125,-0.0625
ASB_2YLO,0.28365384615384615,208,1,8,Androgen receptor,0.125,0.15865384615384615
ASB_3CEH,0.028846153846153848,208,1,9,"Glycogen phosphorylase, liver form",0.1111111111111111,-0.08226495726495725
ASB_3E3N,0.0673076923076923,208,1,9,"Glycogen phosphorylase, muscle form",0.1111111111111111,-0.0438034188034188
ASB_3H6O,0.028846153846153848,208,1,9,Pyruvate kinase PKM,0.1111111111111111,-0.08226495726495725
ASB_3HQP,0.052884615384615384,208,1,9,Pyruvate kinase,0.1111111111111111,-0.05822649572649572
ASB_3IFA,0.1201923076923077,208,1,8,"Fructose-1,6-bisphosphatase isozyme 2",0.125,-0.0048076923076923045
ASB_3LSX,0.019230769230769232,208,1,9,Glutamate receptor 3,0.1111111111111111,-0.09188034188034187
ASB_3O2M,0.019230769230769232,208,1,9,Mitogen-activated protein kinase 8,0.1111111111111111,-0.09188034188034187
ASB_3PG9,0.03365384615384615,208,1,9,Phospho-2-dehydro-3-deoxyheptonate aldolase,0.1111111111111111,-0.07745726495726496
ASB_3R1R,0.0,208,1,9,Ribonucleoside-diphosphate reductase 1 subunit alpha,0.1111111111111111,-0.1111111111111111
ASB_4E6C,0.038461538461538464,208,1,9,Mitogen-activated protein kinase 14,0.1111111111111111,-0.07264957264957264
ASB_4G1N,0.009615384615384616,208,1,9,Pyruvate kinase PKM,0.1111111111111111,-0.1014957264957265
ASB_4HYW,0.052884615384615384,208,1,9,Pyruvate kinase 1,0.1111111111111111,-0.05822649572649572
ASB_4MRA,0.04807692307692308,208,1,9,"Glycogen phosphorylase, muscle form",0.1111111111111111,-0.06303418803418803
ASB_4PFK,0.0625,208,1,8,ATP-dependent 6-phosphofructokinase,0.125,-0.0625
CAS_1CZA,0.07692307692307693,208,1,9,CAS0027,0.1111111111111111,-0.03418803418803418
CAS_1DGK,0.09134615384615384,208,1,9,CAS0027,0.1111111111111111,-0.019764957264957264
