protein,frac_top1,n_cells,k,n,cluster,chance,excess
ASB_1A3W,0.09615384615384616,208,1,9,Pyruvate kinase 1,0.1111111111111111,-0.014957264957264946
ASB_1FRP,0.14423076923076922,208,1,9,"Fructose-1,6-bisphosphatase 1",0.1111111111111111,0.03311965811965811
ASB_1M8P,0.10576923076923077,208,2,9,Sulfate adenylyltransferase,0.2222222222222222,-0.11645299145299144
ASB_1PFK,0.009615384615384616,208,1,9,ATP-dependent 6-phosphofructokinase isozyme 1,0.1111111111111111,-0.1014957264957265
ASB_1T49,0.02403846153846154,208,1,9,Tyrosine-protein phosphatase non-receptor type 1,0.1111111111111111,-0.08707264957264957
ASB_1W25,0.41346153846153844,208,1,9,Response regulator PleD,0.1111111111111111,0.30235042735042733
ASB_2BU8,0.009615384615384616,208,1,9,Pyruvate dehydrogenase kinase isozyme 2,0.1111111111111111,-0.1014957264957265
ASB_2BXA,0.057692307692307696,208,1,9,Serum albumin,0.1111111111111111,-0.05341880341880341
ASB_2IEG,0.07211538461538461,208,1,9,"Glycogen phosphorylase, muscle form",0.1111111111111111,-0.038995726495726496
ASB_2Q8M_2,0.04326923076923077,208,1,9,"Fructose-1,6-bisphosphatase class 1",0.1111111111111111,-0.06784188034188034
ASB_2YLO,0.1778846153846154,208,2,9,Androgen receptor,0.2222222222222222,-0.04433760683760682
ASB_3E3N,0.057692307692307696,208,1,9,"Glycogen phosphorylase, muscle form",0.1111111111111111,-0.05341880341880341
ASB_3H6O,0.02403846153846154,208,1,9,Pyruvate kinase PKM,0.1111111111111111,-0.08707264957264957
ASB_3HQP,0.04807692307692308,208,1,9,Pyruvate kinase,0.1111111111111111,-0.06303418803418803
ASB_3IFA,0.08173076923076923,208,1,9,"Fructose-1,6-bisphosphatase isozyme 2",0.1111111111111111,-0.029380341880341873
ASB_3O2M,0.04807692307692308,208,1,9,Mitogen-activated protein kinase 8,0.1111111111111111,-0.06303418803418803
ASB_3PG9,0.03365384615384615,208,1,9,Phospho-2-dehydro-3-deoxyheptonate aldolase,0.1111111111111111,-0.07745726495726496
ASB_4HYW,0.03365384615384615,208,1,9,Pyruvate kinase 1,0.1111111111111111,-0.07745726495726496
CAS_1CZA,0.08173076923076923,208,1,9,CAS0027,0.1111111111111111,-0.029380341880341873
CAS_1DGK,0.1201923076923077,208,1,9,CAS0027,0.1111111111111111,0.00908119658119659
CAS_2P9E,0.04807692307692308,208,2,9,CAS0040,0.2222222222222222,-0.17414529914529914
CAS_3I28,0.028846153846153848,208,2,9,CAS0002,0.2222222222222222,-0.19337606837606836
CAS_3KOO,0.038461538461538464,208,1,9,CAS0002,0.1111111111111111,-0.07264957264957264
CAS_4JAD,0.04326923076923077,208,1,9,CAS0001,0.1111111111111111,-0.06784188034188034
CAS_4JAE,0.02403846153846154,208,1,9,CAS0001,0.1111111111111111,-0.08707264957264957
CAS_4JAF,0.038461538461538464,208,1,9,CAS0001,0.1111111111111111,-0.07264957264957264
CAS_4JAG,0.0673076923076923,208,1,9,CAS0001,0.1111111111111111,-0.0438034188034188
CAS_5AHX,0.21634615384615385,208,2,7,CAS0002,0.2857142857142857,-0.06936813186813184
CAS_5AI4,0.04326923076923077,208,1,8,CAS0002,0.125,-0.08173076923076923
CAS_5AI5,0.0625,208,1,7,CAS0002,0.14285714285714285,-0.08035714285714285
CAS_5AIA,0.03365384615384615,208,1,8,CAS0002,0.125,-0.09134615384615385
CAS_5AK4,0.02403846153846154,208,1,7,CAS0002,0.14285714285714285,-0.11881868131868131
CAS_5AK5,0.07692307692307693,208,1,8,CAS0002,0.125,-0.04807692307692307
CAS_5AKE,0.1875,208,1,7,CAS0002,0.14285714285714285,0.04464285714285715
CAS_5AKH,0.12980769230769232,208,2,8,CAS0002,0.25,-0.12019230769230768
CAS_5AKX,0.052884615384615384,208,2,9,CAS0002,0.2222222222222222,-0.16933760683760682
CAS_5AKY,0.02403846153846154,208,1,8,CAS0002,0.125,-0.10096153846153846
CAS_5ALD,0.0625,208,2,7,CAS0002,0.2857142857142857,-0.2232142857142857
CAS_5ALF,0.11057692307692307,208,1,7,CAS0002,0.14285714285714285,-0.03228021978021978
CAS_5ALH,0.028846153846153848,208,1,7,CAS0002,0.14285714285714285,-0.114010989010989
CAS_5ALO,0.028846153846153848,208,1,7,CAS0002,0.14285714285714285,-0.114010989010989
